1   F15
2   F15
3   F15
4   F15
5   F15
6   F15
7   F15
8   F15
9   F15
10  F15
11  F15
12  F15
13  F15
14  F15
15  F15
16  F15
17  F15
18  F15
19  F15
20  F1
21  F1
22  F1
23  F1
24  F1
25  F1
26  F1
27  F1
28  F1
29  F1
30  F5
31  F5
32  F5
33  F5
34  F5
35  F5
36  F5
37  F5
38  F5
39  F40
40  F40
41  F40
42  F40
43  F40
44  F40
45  F35
46  F35
47  F35
48  F35
49  F35
50  F35
51  F35
52  F35
53  F35
54  F35
55  F35
56  F35
57  F35
58  F35
59  F35
60  F35
61  F35
62  F35
63  F35
64  F35
65  F35
66  F35
67  F35
68  F35
69  F35
70  F35
71  F35
72  F35
73  F35
74  F35
75  F35
76  F35
77  F35
