1 2
10 1
11 1
12 1
2 3
13 2
14 2
3 9
15 3
16 3
4 7
4 9
17 4
5 6
7 5
18 5
19 5
20 6
21 6
7 8
22 9
23 9
25 24
26 24
24 30
27 25
25 31
28 26
29 27
29 28
30 32
32 31
26 33
27 34
28 35
36 37
36 42
36 43
36 44
37 38
37 45
37 46
38 39
39 40
39 41
41 47
41 48
50 49
51 49
52 50
53 51
54 52
54 53
50 55
51 56
52 57
53 58
59 70
72 59
73 59
74 59
60 61
61 62
75 61
76 61
62 63
77 62
78 62
63 64
79 63
80 63
64 65
81 64
82 64
66 65
83 65
84 65
66 67
66 71
67 68
85 67
68 69
86 68
87 68
69 70
88 69
89 69
90 70
91 70
6 29
32 38
41 54
49 60
