1 2
1 8
12 1
2 3
2 7
3 4
13 3
14 3
4 5
15 4
16 4
5 6
17 5
18 5
8 9
19 8
20 8
9 10
21 9
22 9
10 11
23 10
24 10
25 11
26 11
27 11
29 28
30 28
28 34
31 29
29 35
32 30
33 31
33 32
34 36
36 35
30 37
31 38
32 39
41 40
40 45
41 42
41 43
43 44
43 46
43 47
44 48
44 49
51 50
52 50
53 51
54 52
55 53
55 54
51 56
52 57
53 58
54 59
60 71
73 60
74 60
75 60
61 62
62 63
76 62
77 62
63 64
78 63
79 63
64 65
80 64
81 64
65 66
82 65
83 65
67 66
84 66
85 66
67 68
67 72
68 69
86 68
69 70
87 69
88 69
70 71
89 70
90 70
91 71
92 71
6 33
36 40
44 55
50 61
