1 2
1 3
1 4
1 5
2 6
2 7
9 8
10 8
8 14
11 9
9 15
12 10
13 11
13 12
14 16
16 15
10 17
11 18
12 19
20 21
20 26
20 27
20 28
21 22
21 29
21 30
22 23
23 24
23 25
25 31
25 32
34 33
35 33
36 34
37 35
38 36
38 37
35 39
36 40
37 41
42 43
43 44
43 46
43 47
44 45
44 48
44 49
45 50
45 51
45 52
53 64
66 53
67 53
68 53
54 55
55 56
69 55
70 55
56 57
71 56
72 56
57 58
73 57
74 57
58 59
75 58
76 58
60 59
77 59
78 59
60 61
60 65
61 62
79 61
62 63
80 62
81 62
63 64
82 63
83 63
84 64
85 64
2 13
16 22
25 38
33 42
34 54
