1 11
2 3
2 13
3 4
3 5
5 6
5 14
6 7
6 15
6 16
7 8
7 17
7 18
8 9
8 19
8 20
9 10
9 21
9 22
10 11
10 23
10 24
11 12
12 25
2 26
28 27
29 27
27 33
30 28
28 34
31 29
32 30
32 31
33 35
35 34
29 36
30 37
31 38
40 39
39 44
40 41
40 42
42 43
42 45
42 46
43 47
43 48
50 49
51 49
52 50
53 51
54 52
54 53
51 55
52 56
53 57
58 59
59 60
59 61
59 62
63 74
76 63
77 63
78 63
64 65
65 66
79 65
80 65
66 67
81 66
82 66
67 68
83 67
84 67
68 69
85 68
86 68
70 69
87 69
88 69
70 71
70 75
71 72
89 71
72 73
90 72
91 72
73 74
92 73
93 73
94 74
95 74
12 32
35 39
43 54
49 58
50 64
