1   F16
2   F16
3   F16
4   F16
5   F16
6   F16
7   F16
8   F16
9   F16
10  F16
11  F16
12  F16
13  F16
14  F16
15  F16
16  F16
17  F16
18  F16
19  F16
20  F16
21  F16
22  F16
23  F4
24  F4
25  F4
26  F4
27  F4
28  F4
29  F4
30  F4
31  F4
32  F4
33  F4
34  F4
35  F1
36  F1
37  F1
38  F1
39  F1
40  F1
41  F1
42  F1
43  F1
44  F1
45  F5
46  F5
47  F5
48  F5
49  F5
50  F5
51  F5
52  F5
53  F5
54  F35
55  F35
56  F35
57  F35
58  F35
59  F35
60  F35
61  F35
62  F35
63  F35
64  F35
65  F35
66  F35
67  F35
68  F35
69  F35
70  F35
71  F35
72  F35
73  F35
74  F35
75  F35
76  F35
77  F35
78  F35
79  F35
80  F35
81  F35
82  F35
83  F35
84  F35
85  F35
86  F35
87  F35
88  F35
89  F35
90  F35
91  F35
92  F35
93  F35
94  F35
95  F35
96  F35
97  F35
98  F35
99  F35
100 F35
101 F35
102 F35
103 F35
104 F35
105 F35
106 F35
107 F35
108 F35
109 F35
110 F35
111 F35
112 F35
113 F35
114 F35
115 F35
116 F35
117 F35
118 F35
119 F35
